序号,课题名称,姓名,工作单位,项目类别,所在学科
55,习近平总书记大历史观的丰富内涵与现实意蕴研究,金梦,北京师范大学,青年项目,马列·科社
56,绿色资本主义新动向及其批判研究,张乐,江南大学,青年项目,马列·科社
57,中国共产党对马克思主义正义观的探索历程与独创性贡献研究,杜利娜,浙江大学,青年项目,马列·科社
58,革命文物展览的爱国主义教育效果评价与提升研究,胡凯云,杭州师范大学,青年项目,马列·科社
59,智能算法推荐的意识形态风险治理研究,张林,电子科技大学,青年项目,马列·科社
60,“强边”背景下西藏青少年学生爱国守边意识培育研究,许亚锋,西藏民族大学,青年项目,马列·科社
61,习近平中共党史观与新时代中共党史学创新发展研究,吴起民,北京师范大学,青年项目,党史·党建
62,新时代中国共产党党内政治文化制度化建设研究,王卫兵,郑州大学,青年项目,党史·党建
63,新发展阶段基层党组织政治功能的实现机制与增强路径研究,张晋龙,西北大学,青年项目,党史·党建
64,新时代政德建设汲取中华优秀传统文化研究,郑济洲,中共福建省委党校,青年项目,党史·党建
65,基层社会组织党建高质量发展的联建共建机制研究,薛美琴,南京理工大学,青年项目,党史·党建
66,党群关系视域下的《人民日报》读者来信研究（1977-2020）,武星,中共江苏省委党校,青年项目,党史·党建
67,新时代以党的自我革命推进社会革命的逻辑机理与实践路径研究,张灿,大连理工大学,青年项目,党史·党建
68,中国共产党“赶考”命题的历史意蕴与新时代内涵研究,刘晓川,中共山东省委党校,青年项目,党史·党建
69,党内法规在中国共产党百年发展历程中的地位和作用研究,莫广明,武汉大学,青年项目,党史·党建
70,中国共产党党费制度建设的百年历程及经验研究,许春涛,武汉理工大学,青年项目,党史·党建
71,党政联合发文制度研究,张海涛,中共中央党校（国家行政学院）,青年项目,党史·党建
72,新时代中国共产党开展伟大斗争研究,张杰,中共江苏省委党校,青年项目,党史·党建
73,新时代中国共产党改革话语体系研究,高松,云南大学,青年项目,党史·党建
74,网络时代中国共产党的社会号召力建设研究,仰义方,重庆邮电大学,青年项目,党史·党建
75,中国共产党早期报刊与马克思主义中国化话语的初步建构研究,徐立波,上海师范大学,青年项目,党史·党建
76,海外毛泽东传记文本中的历史虚无主义批判研究,王芳,南京理工大学,青年项目,党史·党建
77,新时代国有企业党建工作与生产经营深度融合的困境及实现机制研究,蒋福东,中共河北省委党校（河北行政学院）,青年项目,党史·党建
78,党建引领城市社区公共安全治理的前瞻策略研究,孙雪,中共重庆市委党校,青年项目,党史·党建
79,中共旅欧党团组织法文史料的收集、整理、翻译与研究（1919-1927）,王颖琴,上海理工大学,青年项目,党史·党建
80,东北抗联将士日记和书信的收集、整理与研究,张宽,兰州大学,青年项目,党史·党建
81,新中国成立后党领导新疆人口工作与边疆长治久安研究（1949-1965）,易海涛,中国社会科学院当代中国研究所,青年项目,党史·党建
82,新中国成立初期华南城市政权建设研究（1949-1952）,连文妹,厦门大学,青年项目,党史·党建
83,新中国成立前后“城市建党”文献资料收集和整理研究,许昊,郑州大学,青年项目,党史·党建
84,新中国成立以来中国共产党国家治理的传统文化向度研究,王梅琳,曲阜师范大学,青年项目,党史·党建
85,新中国成立以来党领导农村改水事业的历史进程和基本经验研究,张亮,西南大学,青年项目,党史·党建
86,新中国成立初期中国共产党领导生产救灾的理论与实践研究（1949-1957）,曹佐燕,中国农业大学,青年项目,党史·党建
87,百年来中国共产党马克思主义意识形态话语权建设研究,张玄益,中共重庆市委党校,青年项目,党史·党建
88,中国共产党在山东抗日根据地的社会调查工作研究,黄润青,山东师范大学,青年项目,党史·党建
89,新中国成立初期大众文艺中的英雄人物塑造及精神示范研究,王志强,南京师范大学,青年项目,党史·党建
90,基于口述史的铁道兵精神及其当代价值研究,刁成林,西南交通大学,青年项目,党史·党建
91,中国共产党百年青年思想政治工作史研究,杨巧,中国共产主义青年团中央团校,青年项目,党史·党建
92,运用红色资源铸牢中华民族共同体意识研究,万钰莹,云南师范大学,青年项目,党史·党建
93,抗战时期红色报刊传播中华民族共同体意识研究,凌富亚,贵州医科大学,青年项目,党史·党建
94,中国共产党构建科技举国体制的历程与经验研究,徐凡,河北师范大学,青年项目,党史·党建
95,中国共产党与中东华人华侨百年关系史研究,雷安琪,宁夏大学,青年项目,党史·党建
96,中国共产党交通强国思想发展历程研究,曹文翰,西南交通大学,青年项目,党史·党建
97,马克思主义经典著作少数民族文版出版传播研究,杨林,南方医科大学,青年项目,党史·党建
98,新民主主义革命时期中国共产党对美国华侨华人统战工作研究,石瑶,中共中央党校（国家行政学院）,青年项目,党史·党建
99,“新辩证法学派”扩展研究,夏钊,南开大学,青年项目,哲学
100,马克思“机器与技术笔记”与历史唯物主义创新研究,张福公,南京师范大学,青年项目,哲学
101,《资本论》及其手稿中的自由观研究,王益,中南财经政法大学,青年项目,哲学
102,西方马克思主义进程中的德国观念论：从卢卡奇到齐泽克,陆凯华,华东师范大学,青年项目,哲学
103,国外学界政治经济学批判理论的最新发展研究,刘林娟,南京航空航天大学,青年项目,哲学
104,以《柏林笔记》为核心文本的马克思早期哲学思想研究,杨偲劢,武汉大学,青年项目,哲学
105,财产权批判谱系中马克思与黑格尔的关系问题研究,吴鹏,西安交通大学,青年项目,哲学
106,斯蒂格勒数字资本主义批判思想研究,陈明宽,西北大学,青年项目,哲学
107,马克思与克尔凯郭尔的辩证法比较研究,温权,伊犁师范大学,青年项目,哲学
108,阿尔都塞的政治哲学思想及其当代价值研究,董键铭,中国社会科学院哲学研究所,青年项目,哲学
109,青年马克思政治哲学中的“黑格尔因素”研究,梁燕晓,中共中央党校（国家行政学院）,青年项目,哲学
110,生产力社会形式与共同富裕前提的哲学研究,訾阳,中共上海市委党校,青年项目,哲学
111,数字化时代的劳动正义问题研究,赵林林,福州大学,青年项目,哲学
112,风险分配的正义问题研究,孟小非,广西师范大学,青年项目,哲学
113,资本逻辑视域下的数字技术创新问题研究,葛玉海,成都理工大学,青年项目,哲学
114,信度的实践敏感性研究,高洁,浙江大学,青年项目,哲学
115,算法治理的技术哲学研究,兰立山,中共中央党校（国家行政学院）,青年项目,哲学
116,知觉-认知连续性问题研究,黄原,吉林大学,青年项目,哲学
117,“身联网”技术的哲学问题研究,刘铮,上海交通大学,青年项目,哲学
118,认知科学哲学视域下的人工共情问题研究,崔中良,南京信息工程大学,青年项目,哲学
119,人工智能时代的人-技伦理共同体研究,贾璐萌,天津大学,青年项目,哲学
120,负责任创新与当代工匠精神重塑研究,张慧,清华大学,青年项目,哲学
121,人类纪视域下的生物赛博格问题探究,李曈,首都医科大学,青年项目,哲学
122,当代生物学中的基因及其因果性研究,陆俏颖,北京大学,青年项目,哲学
123,后真相视域下的伪科学研究,唐倬,贵州医科大学,青年项目,哲学
124,早期儒学视域中的孟子心性论研究,何益鑫,复旦大学,青年项目,哲学
125,先秦道家时间观研究,魏孟飞,河南中医药大学,青年项目,哲学
126,春秋史官哲学的多元通和传统研究,吴宝麟,中央民族大学,青年项目,哲学
127,东汉制礼困局下的今古文经学思想互动研究,高瑞杰,上海师范大学,青年项目,哲学
128,汉代公羊学文质论研究,王磊,浙江工商大学,青年项目,哲学
129,先秦两汉儒学视域中的“制器”观念研究,吕明烜,中国政法大学,青年项目,哲学
130,“消息说”视角下东汉三大家易学研究,苏建强,济南大学,青年项目,哲学
131,象山学阐释演变史,邓国坤,贵州大学,青年项目,哲学
132,中晚明西学东渐背景下的格物理论研究,王磊,大连理工大学,青年项目,哲学
133,冯友兰对陆王心学的现代诠释研究,代玉民,南京大学,青年项目,哲学
134,梁漱溟思想的儒佛交融形态研究,王若曦,扬州大学,青年项目,哲学
135,泰州学派乡村儒学研究,唐东辉,广西民族大学,青年项目,哲学
136,20世纪以来新出《庄子》文献研究,寇志强,盐城师范学院,青年项目,哲学
137,理学比较视域下的《五经正义》儒学话语体系建构研究,陈华波,浙江工业大学,青年项目,哲学
138,乾嘉学派经史关系的诠释学研究,黄晚,福建师范大学,青年项目,哲学
139,原始儒家关于家国建构的政治哲学思想研究,邓梦军,中共厦门市委党校,青年项目,哲学
140,刘沅、刘咸炘的学术进路与近代蜀学转型发展研究,戴森宇,四川大学,青年项目,哲学
141,社会转型中的先秦法家治理思想研究,王晨光,西安电子科技大学,青年项目,哲学
142,冰上丝绸之路视域下儒佛道哲学典籍的芬兰文译本研究,高源,上海交通大学,青年项目,哲学
143,扬·帕托契卡著作的编译与研究,张俊国,南开大学,青年项目,哲学
144,列维纳斯家哲学研究,刘晓,北京体育大学,青年项目,哲学
145,“泛神论之争”的核心文本翻译与研究,童群霖,北京外国语大学,青年项目,哲学
146,胡塞尔现象学哲学体系视角下的“世界构造”问题研究,韩骁,中国社会科学院哲学研究所,青年项目,哲学
147,身心关系与因果性的哲学研究,董心,中央民族大学,青年项目,哲学
148,剑桥实用主义研究,周靖,上海社会科学院,青年项目,哲学
149,维特根斯坦生活观研究,王佳鑫,重庆工商大学,青年项目,哲学
150,阳明后学心性论分化与统合的逻辑发展研究,王晓娣,南京信息工程大学,青年项目,哲学
151,非人灵长类神经系统基因编辑的生命伦理学研究,王赵琛,浙江大学,青年项目,哲学
152,核威慑的伦理约束研究,刘利乐,中国社会科学院哲学研究所,青年项目,哲学
153,中西道德话语语义建构对比研究,梅轩,华南理工大学,青年项目,哲学
154,阿奎那行动哲学历史价值与现实意义研究,归伶昌,湖北大学,青年项目,哲学
155,机器人自主决策的伦理研究,刘鸿宇,南京农业大学,青年项目,哲学
156,列斐伏尔都市社会视域下城市美好生活需要的空间性研究,张楠,洛阳理工学院,青年项目,哲学
157,美好生活视域下劳动幸福观的价值哲学研究,徐昇,中共重庆市委党校,青年项目,哲学
158,甲金简帛中的美学思想研究,谭玉龙,重庆邮电大学,青年项目,哲学
159,我国“三线”建设中技术转移研究,蔡珏,国防科技大学,青年项目,哲学
160,太仓朱子学研究,申祖胜,厦门大学,青年项目,哲学
161,军礼之本--中国古代军政思想的文化基因溯源与哲学体系构建,栗志恒,国防科技大学信息通信学院,青年项目,哲学
162,康德《杜伊斯堡遗稿》译注及思想价值研究,刘萌,延安大学,青年项目,哲学
163,实验语言哲学视域下的专名指称机制建构,李金彩,华东师范大学,青年项目,哲学
164,梅兰芳“剧舞”的美学研究,祝凡淇,广州大学,青年项目,哲学
165,数字资本主义生产方式新变化的政治经济学研究,王金秋,北京工商大学,青年项目,理论经济
166,国外政治经济学的数字资本主义批判研究,王琳,上海财经大学,青年项目,理论经济
167,以剩余价值为中心的马克思主义宏观经济账户体系研究,马梦挺,复旦大学,青年项目,理论经济
168,马克思主义宏观经济循环理论与经验分析框架研究,冯志轩,南开大学,青年项目,理论经济
169,嵌入性视角下民国铁路发展与国家能力建构研究（1912—1937）,张铎,中共上海市委党校,青年项目,理论经济
170,货币政策对异质性家庭收入差距的影响及对策研究,薛龙,郑州轻工业大学,青年项目,理论经济
171,基于动态CGE模型的构建“双循环”新格局经济效应研究,郭晴,广东外语外贸大学,青年项目,理论经济
172,增长与分享有机协同推动共同富裕的逻辑及路径研究,张磊,湘潭大学,青年项目,理论经济
173,经济高质量发展背景下技术要素市场化配置改革研究,刘大勇,天津大学,青年项目,理论经济
174,数字经济时代兼顾个人信息保护和数据要素市场培育的治理机制设计,续继,中国社会科学院经济研究所,青年项目,理论经济
175,要素禀赋结构、政府短期干预与长期经济发展研究：以我国早期工业建设为例,王歆,北京大学,青年项目,理论经济
176,交易成本视角下农地流转主体与合约治理优化匹配研究,王岩,郑州航空工业管理学院,青年项目,理论经济
177,新型基础设施的投入效率测度及优化路径研究,郭鹏飞,重庆工商大学,青年项目,理论经济
178,粤港澳大湾区协同创新与城市功能的耦合机制及效应研究,汪文姣,广州大学,青年项目,理论经济
179,长江经济带城市群与双循环价值链融合发展的效能识别及实现路径研究,田园,重庆工商大学,青年项目,理论经济
180,基于“转出地—承接地”互动的区域包容性发展形成机理与实现路径研究,葛涛,南通大学,青年项目,理论经济
181,社会保障安全网在巩固脱贫攻坚成果中的作用机制研究,彭千芮,湖南财政经济学院,青年项目,理论经济
182,数字农业赋能农业可持续发展的理论逻辑与实证研究,齐文浩,吉林农业大学,青年项目,理论经济
183,制造业嵌入双重价值链的动力机制、效应与路径研究,龙飞扬,南京审计大学,青年项目,理论经济
184,明清时期灾害治理机制的经济学研究,禹思恬,首都经济贸易大学,青年项目,理论经济
185,新发展理念下我国地区间和群体间的环境不平等研究,张媛,湖北大学,青年项目,理论经济
186,“碳中和”目标下我国典型生态功能区碳汇账户构建及应用研究,熊欢欢,南昌大学,青年项目,理论经济
187,混合所有制改革背景下员工股权激励提升国企治理效率研究,马超,广东财经大学,青年项目,理论经济
188,数字非竞争性视角下反垄断政策推进平台企业创新发展的机制与优化路径研究,蒋墨冰,浙江理工大学,青年项目,理论经济
189,服务业扩大开放对制造业就业结构的影响机制研究,李飚,郑州大学,青年项目,理论经济
190,政治经济学视角下人工智能对劳动者就业的影响研究,唐永,四川大学,青年项目,理论经济
191,发展数字经济与缩小收入差距的矛盾和化解路径研究,姜伟,中央民族大学,青年项目,理论经济
192,数字贸易驱动中国企业出口竞争力提升的机制与路径研究,周凤秀,江西师范大学,青年项目,理论经济
193,双循环视域下国内价值链促进全球价值链重构的理论机制与实现路径研究,刘天琦,厦门国家会计学院,青年项目,理论经济
194,区域价值链视角下推动“一带一路”建设的产业选择与合作路径研究,马晓东,新疆大学,青年项目,理论经济
195,水资源集约配置约束下黄河流域产业布局优化研究,张玉泽,济南大学,青年项目,理论经济
196,劳动力返乡创业与乡村振兴的协同效应及政策设计,黄敦平,安徽财经大学,青年项目,理论经济
197,制度型开放背景下RCEP新规则的福利效应研究,慕绣如,山东师范大学,青年项目,理论经济
198,数字化背景下农地金融的发展特征、运行机制、风险测度与政策改进研究,王珏,西安交通大学,青年项目,应用经济
199,三权分置下宅基地发展权转移增值收益共享研究,鄂施璇,重庆工商大学,青年项目,应用经济
200,场景嵌入导向的农村数字普惠金融创新研究,罗兴,郑州大学,青年项目,应用经济
201,数字普惠金融缓解城乡资本错配的机理、效应与路径研究,李晓龙,贵州财经大学,青年项目,应用经济
202,货币创造视角下中国影子银行的宏观效应及政策调控影响研究,李伯尧,中国政法大学,青年项目,应用经济
203,中国影子银行系统性金融风险的多维传染与防范研究,黄敏,广州大学,青年项目,应用经济
204,基于创新链与产业链协同的区域创新悖论治理机制研究,陈俊,广东财经大学,青年项目,应用经济
205,黄河流域中心城市数字经济发展推动区域产业链优化升级研究,焦勇,山东科技大学,青年项目,应用经济
206,地方财政策略互动对城市群要素市场一体化的影响及优化对策研究,宋美喆,湖南财政经济学院,青年项目,应用经济
207,数字经济下税收治理效能的评估与提升研究,袁娇,云南财经大学,青年项目,应用经济
208,企业行为视角下环境保护税的地区异质性效应评估与优化设计研究,杨喆,青岛大学,青年项目,应用经济
209,我国环境保护税的政策效应与深化改革研究,张希栋,上海社会科学院,青年项目,应用经济
210,异质性视域下人力资本巩固拓展脱贫攻坚成果长效机制研究,冯星,辽宁大学,青年项目,应用经济
211,数字经济驱动全球价值链重构机理与我国制造业升级对策研究,刘京星,华侨大学,青年项目,应用经济
212,全球价值链参与度波动的诱因、影响及中国控制对策研究,王磊,三峡大学,青年项目,应用经济
213,新发展理念下生产性服务业向价值链高端延伸的关键要素、效应评估与路径优化研究,韩沈超,杭州电子科技大学,青年项目,应用经济
214,数字经济驱动更加充分更高质量就业的影响机理与政策研究,丁述磊,北京师范大学,青年项目,应用经济
215,国内市场一体化对出口产品质量的影响机制研究,陈梅,郑州大学,青年项目,应用经济
216,“双循环”新格局下进口竞争推动制造业技术创新的机制与对策研究,石小霞,武汉纺织大学,青年项目,应用经济
217,数字经济对中国企业出口升级的作用机理、效应及对策研究,方玉霞,江西师范大学,青年项目,应用经济
218,“双循环”新格局下政府投资转型对制造业结构升级的影响机制研究,贾婷月,上海社会科学院,青年项目,应用经济
219,“后疫情时代”兼顾安全与收益的中国企业海外投资区位行业布局研究,孙好雨,上海立信会计金融学院,青年项目,应用经济
220,多元制度视域下构建弹性退休制度应对老龄化的理论、机制与政策研究,孙雅,华中科技大学,青年项目,应用经济
221,国内国际价值环流嵌入视角下中国高端装备制造业升级研究,张月月,浙江工商大学,青年项目,应用经济
222,数字经济时代中国全要素生产率增长的实现路径与政策体系研究,王卫,哈尔滨理工大学,青年项目,应用经济
223,绿色金融助推我国绿色全要素生产率的机制与实现路径研究,秦琳贵,沈阳农业大学,青年项目,应用经济
224,建筑全寿命周期多元主体能耗治理机制与政策研究,冯群,济南大学,青年项目,应用经济
225,西南地区承接产业转移与碳达峰协同机制研究,任亚运,贵州财经大学,青年项目,应用经济
226,碳解锁实现制造业绿色化改造的机理与路径研究,蔡海亚,盐城工学院,青年项目,应用经济
227,碳中和目标约束下建筑碳排放总量省域分配研究,马敏达,清华大学,青年项目,应用经济
228,环境规制影响企业高质量发展的机制及路径研究,雷鹏飞,中南财经政法大学,青年项目,应用经济
229,市场型环境规制诱发先进制造业绿色技术创新的机制与路径研究,谢宜章,湖南农业大学,青年项目,应用经济
230,西部地区绿色金融与生态资源的非协调性耦合识别及协调发展路径研究,马大来,重庆理工大学,青年项目,应用经济
231,金融系统流动性分层对企业融资的影响机制及其治理研究,吴华强,广州大学,青年项目,应用经济
232,中国地方债务可持续性的测度、影响因素与实现路径研究,陈宝东,西安工程大学,青年项目,应用经济
233,审计委员会治理模式下资源环境审计的现实困境与协同机制研究,崔雯雯,西南大学,青年项目,应用经济
234,数字经济环境下的农民增收路径及其城乡间转移决策机制研究,王伟新,浙江工商大学,青年项目,应用经济
235,南疆四地州相对贫困多维度识别与协同治理研究,罗万云,新疆大学,青年项目,应用经济
236,数字乡村背景下互联网赋能缓解农村多维相对贫困的长效机制研究,冷晨昕,清华大学,青年项目,应用经济
237,金融科技背景下分析师信息披露行为的机制及监管研究,姚晶晶,江苏大学,青年项目,应用经济
238,新发展格局下数字技术驱动制造业服务化转型的机理及路径研究,罗双成,长沙理工大学,青年项目,应用经济
239,金融集聚对城市绿色经济发展的空间溢出及影响机制研究,高翠云,辽宁大学,青年项目,应用经济
240,数字经济背景下互联网平台相关市场界定方法重构与反垄断规制研究,郭晓玲,辽宁大学,青年项目,应用经济
241,西江流域生态产品的富民效应及提升策略研究,张智勇,贵州省社会科学院,青年项目,应用经济
242,数字金融对居民消费不平等的影响评估与机理研究,刘倩,广东外语外贸大学,青年项目,应用经济
243,基于经济金融关联网络的中国系统性风险监控预警研究,李政,天津财经大学,青年项目,应用经济
244,农业产业化联合体运行成效与差异化提升策略研究,叶云,长江大学,青年项目,应用经济
245,中国农业数字化转型机理、效应及路径优化研究,刘晓倩,河北地质大学,青年项目,应用经济
246,网络嵌入视角下农民合作社数字化转型的实现机制研究,郑阳阳,南京林业大学,青年项目,应用经济
247,“双循环”新格局下制造业高质量发展的驱动机制、效果测度及提升策略研究,王玉燕,安徽大学,青年项目,应用经济
248,高质量发展视域下中国物流业绿色发展评价与提升路径研究,张旭,燕山大学,青年项目,应用经济
249,并购重组注册制改革促进企业高质量发展的机制、路径与政策研究,李晶晶,哈尔滨工业大学,青年项目,应用经济
250,乡村旅游高质量发展促进乡村振兴的路径创新与政策优化研究,时朋飞,西南大学,青年项目,应用经济
251,省际合作帮扶促进欠发达地区经济持续发展评价及机制创新研究,徐明,广东外语外贸大学,青年项目,应用经济
252,中国民营企业的创新韧性与提升路径研究,夏后学,南京工业大学,青年项目,应用经济
253,宏观经济治理的跨周期政策设计和逆周期调节能力提高研究,刘子玉,广州大学,青年项目,应用经济
254,西部地区居民绿色农产品消费行为的影响机制及优化路径研究,张锐,北方民族大学,青年项目,应用经济
255,基于用户竞争视角的互联网平台排他性交易的监管研究,鲁彦,山东师范大学,青年项目,应用经济
256,服务业制度型开放对服务型制造企业升级的有效性检验与协调机制研究,孟翡,浙江理工大学,青年项目,应用经济
257,混合经营对农村集体经济发展的作用机理及其政策体系研究,周振,国家发展和改革委员会产业经济与技术经济研究所,青年项目,应用经济
258,数字乡村试点成效评估及建设路径优化研究,吴石磊,山东理工大学,青年项目,应用经济
259,“十四五”时期我国经济增长趋势的实时测算与收敛特征分析研究,徐宁,吉林大学,青年项目,应用经济
260,基于超级基因的我国绿电布局优化研究,肖坤,武汉大学,青年项目,应用经济
261,代际传递视角下“整村搬迁”富民效应动态评估及提升路径研究,滕祥河,云南大学,青年项目,应用经济
262,我国北部湾城市群向海经济高质量发展动力机制及政策体系研究,文海漓,广西财经学院,青年项目,应用经济
263,银行数字化转型与货币政策传导有效性研究,汪勇,中国社会科学院金融研究所,青年项目,应用经济
264,基本公共服务均等化促进农村流动人口消费的影响机制与对策研究,温兴祥,南京财经大学,青年项目,应用经济
265,新型城镇化背景下最低工资对农民工就业质量的影响研究,杨正雄,南京财经大学,青年项目,应用经济
266,贷款市场利率报价机制、利率政策有效性与金融稳定性研究,潘长春,吉林大学,青年项目,应用经济
267,数字金融发展背景下家庭负债结构性不平衡的测度与优化研究,张旭阳,北京工商大学,青年项目,应用经济
268,西部地区生态脱贫农户返贫风险识别与化解机制研究,张童朝,中共重庆市委党校,青年项目,应用经济
269,绿色金融推动黄河流域产业绿色发展的作用机制与路径优化研究,王韧,山东社会科学院,青年项目,应用经济
270,行政区划调整、市场分割与区域一体化发展,庄汝龙,宁波大学,青年项目,应用经济
271,中国金融业扩大开放与宏观审慎政策的国际协调研究,陈若愚,安徽财经大学,青年项目,应用经济
272,新型基础设施建设赋能西部地区制造业绿色转型的机制与政策研究,王念,广西财经学院,青年项目,应用经济
273,数字化转型条件下价格指数编制方法改进与不变价GDP核算的优化,雷泽坤,辽宁大学,青年项目,统计学
274,大数据背景下西南民族连片特困地区多维减贫效应及防贫创新机制研究,李根,贵州财经大学,青年项目,统计学
275,高维矩阵型数据下我国系统性金融风险传导及防控研究,刘程程,首都经济贸易大学,青年项目,统计学
276,基于大数据的突发事件动态应急决策模型与应用研究,张自欣,阳光学院,青年项目,统计学
277, “行政记录人口普查”的数据质量评估框架研究,史龙梅,安徽工程大学,青年项目,统计学
278,城市经济周期分化效应的统计监测研究,郑玉航,广东财经大学,青年项目,统计学
279,基于机器学习的多维相对贫困精准识别、测度与预警机制研究,车四方,重庆工商大学,青年项目,统计学
280,时空数据建模下收入分布函数的动态演变规律及预测研究,秦磊,对外经济贸易大学,青年项目,统计学
281,高维面板数据条件下的多维向量回归模型及应用研究,陈方尧,西安交通大学,青年项目,统计学
282,基于高维混合模型的聚类分析的统计推断及应用研究,项思佳,浙江财经大学,青年项目,统计学
283,关联网络视角下中国碳市场价格相依性风险的统计测度研究,董清利,大连理工大学,青年项目,统计学
